Angle,Length,Ht_E,UW_E,Ht_SS,Void Ratio,UW_SS,Lamda,Kappa,PR,FA,OCR,Permeability,After 1 year
2,10,5,20,9,3.3,16,0.65,0.065,0.3,10,1.5,9.698970004,179
2,10,5,20,9,3.1,16.5,0.65,0.065,0.3,7.2,1.6,9.853871964,130
2,10,5,20,9,2.6,17,0.52,0.052,0.3,6.5,1.4,10.15490196,110
1,10,5,18,7,1.8,15.2,0.178,0.025,0.36,9,1,9.301029996,110
1,10,5,18,7,1.9,15,0.217,0.026,0.32,7,1,9.22184875,182
1,10,5,18,7,1.78,16,0.33,0.066,0.3,7.5,1.9,9.455931956,191
1,10,5,18,7,1.78,16.5,0.38,0.076,0.3,6,1.5,9.759450752,207
1,10,5,18,7,1.78,16.2,0.38,0.076,0.3,9,1,9.759450752,320
1,10,5,18,7,1.78,15.8,0.33,0.066,0.3,6.5,1,9.759450752,239
1,10,5,18,7,3.3,16.5,0.52,0.052,0.3,4,1.2,9.698970004,109
1,10,5,18,7,3.3,16,0.65,0.065,0.3,10,1.5,9.698970004,175
1,10,5,18,7,3.1,16.5,0.65,0.065,0.3,7.2,1.6,9.853871964,126
1,10,5,18,7,2.6,17,0.52,0.052,0.3,6.5,1.4,10.15490196,110
1,10,5,18,7,2.52,14.22,1.09,0.12,0.32,5.29,2.1,7.986152004,348
1,10,5,18,7,1.93,14.81,0.61,0.03,0.31,7.04,1.7,8.011262725,120
1,10,5,18,7,0.57,23.25,0.29,0.02,0.3,6.4,1.9,7.063385738,960
1,10,5,18,7,1.52,16.58,0.48,0.03,0.36,7.12,1.6,7.811915626,238
1,10,5,18,7,1.28,18.84,0.41,0.02,0.33,9.55,1.5,7.798876103,201
1,10,5,18,7,1.88,12.65,0.46,0.03,0.32,4.7,1.5,7.863660003,150
1,10,5,18,7,2.06,15.89,1.06,0.12,0.31,6.38,3.5,7.106238238,371
1,10,5,18,7,2.07,15.3,0.66,0.03,0.29,12.1,1.4,7.882463567,326
1,10,5,18,7,1.76,14.91,0.43,0.03,0.28,3.53,1.6,7.68268898,110
1,10,5,18,7,0.9,16.5,0.14,0.05,0.25,6.5,1.2,8.11577123,247
2,10,5,18,6,2.52,14.22,1.09,0.12,0.32,5.29,2.1,7.986152004,292
2,10,5,18,6,1.93,14.81,0.61,0.03,0.31,7.04,1.7,8.011262725,97
2,10,5,18,6,0.57,23.25,0.29,0.02,0.3,6.4,1.9,7.063385738,83
2,10,5,18,6,1.52,16.58,0.48,0.03,0.36,7.12,1.6,7.811915626,179
2,10,5,18,6,1.28,18.84,0.41,0.02,0.33,9.55,1.5,7.798876103,172
2,10,5,18,6,1.88,12.65,0.46,0.03,0.32,4.7,1.5,7.863660003,112
2,10,5,18,6,2.06,15.89,1.06,0.12,0.31,6.38,3.5,7.106238238,324
2,10,5,18,6,2.07,15.3,0.66,0.03,0.29,12.1,1.4,7.882463567,295
2,10,5,18,6,1.76,14.91,0.43,0.03,0.28,3.53,1.6,7.68268898,94
2,10,5,18,6,0.9,16.5,0.14,0.05,0.25,6.5,1.2,8.11577123,208
3,10,5,18,8,2.52,14.22,1.09,0.12,0.32,5.29,2.1,7.986152004,293
3,10,5,18,8,1.93,14.81,0.61,0.03,0.31,7.04,1.7,8.011262725,97
3,10,5,18,8,0.57,23.25,0.29,0.02,0.3,6.4,1.9,7.063385738,85
3,10,5,18,8,1.52,16.58,0.48,0.03,0.36,7.12,1.6,7.811915626,177
3,10,5,18,8,1.28,18.84,0.41,0.02,0.33,9.55,1.5,7.798876103,169
3,10,5,18,8,1.88,12.65,0.46,0.03,0.32,4.7,1.5,7.863660003,113
3,10,5,18,8,2.06,15.89,1.06,0.12,0.31,6.38,3.5,7.106238238,329
3,10,5,18,8,2.07,15.3,0.66,0.03,0.29,12.1,1.4,7.882463567,284
3,10,5,18,8,1.76,14.91,0.43,0.03,0.28,3.53,1.6,7.68268898,96
3,10,5,18,8,0.9,16.5,0.14,0.05,0.25,6.5,1.2,8.11577123,208
1,10,6,18,5,1.57,16.1,0.18,0.01,0.3,5,1.1,6.744727495,70
1,10,6,18,5,2.45,14.4,0.25,0.04,0.3,3.5,1.4,8.346787486,91
1,10,6,18,5,2.16,15.2,0.21,0.02,0.3,4.5,1.1,8.537602002,93
1,10,6,18,5,1.76,15.7,0.21,0.02,0.3,5.5,1.2,8.823908741,112
1,10,6,18,5,1.53,16.2,0.15,0.02,0.3,7.5,1.3,9.22184875,143
1,10,6,18,5,2.3,14.8,0.57,0.06,0.15,5,1.8,8.219538667,167
1,10,6,18,5,2.7,14.3,0.76,0.08,0.15,6,2.1,8.444180317,165
1,10,6,18,5,2.9,14,0.87,0.09,0.15,4.5,1.7,8.935542011,136
1,10,6,18,5,2.8,14,0.76,0.076,0.15,4,1.6,9.236572006,83
1,10,6,18,5,1.81,15.7,0.18,0.02,0.3,3,1.3,8.251811973,134
3,10,6,18,9,1.57,16.1,0.18,0.01,0.3,5,1.1,6.744727495,54
3,10,6,18,9,2.45,14.4,0.25,0.04,0.3,3.5,1.4,8.346787486,71
3,10,6,18,9,2.16,15.2,0.21,0.02,0.3,4.5,1.1,8.537602002,76
3,10,6,18,9,1.76,15.7,0.21,0.02,0.3,5.5,1.2,8.823908741,93
3,10,6,18,9,1.53,16.2,0.15,0.02,0.3,7.5,1.3,9.22184875,149
3,10,6,18,9,2.3,14.8,0.57,0.06,0.15,5,1.8,8.219538667,171
3,10,6,18,9,2.7,14.3,0.76,0.08,0.15,6,2.1,8.444180317,167
3,10,6,18,9,2.9,14,0.87,0.09,0.15,4.5,1.7,8.935542011,141
3,10,6,18,9,2.8,14,0.76,0.076,0.15,4,1.6,9.236572006,75
3,10,6,18,9,1.81,15.7,0.18,0.02,0.3,3,1.3,8.251811973,124
2,10,6,18,3,1.57,16.1,0.18,0.01,0.3,5,1.1,6.744727495,33
2,10,6,18,3,2.45,14.4,0.25,0.04,0.3,3.5,1.4,8.346787486,50
2,10,6,18,3,2.16,15.2,0.21,0.02,0.3,4.5,1.1,8.537602002,56
