Angle,Length,Ht_E,UW_E,Ht_SS,Void Ratio,UW_SS,Lamda,Kappa,PR,FA,OCR,Permeability,After 30d
2,6,6,19,5,2,15,0.217,0.0276,0.35,5,7.5,8.958607315,59
2,6,6,19,5,2,15,0.217,0.027,0.34,6,5.5,8.823908741,58
2,6,6,19,5,2,14.8,0.261,0.035,0.36,7,3.5,8.22184875,94
2,6,6,19,5,2.2,14.5,0.304,0.06,0.37,8,1.8,8.013228266,243
2,6,6,19,5,2.1,14.5,0.304,0.06,0.37,4,1,8.698970004,315
2,6,6,19,7,0.788,18.58,0.0576,0.0106,0.36,5,3.5,9,48
2,6,6,19,7,0.589,18.38,0.0425,0.016,0.36,5,2.8,9,82
2,6,6,19,7,0.815,20,0.066,0.029,0.36,5,1,9,187
2,6,6,19,7,0.949,18.11,0.127,0.05,0.36,5,1.5,9,205
2,6,6,19,7,2,15,0.217,0.0276,0.35,5,7.5,8.958607315,76
2,6,6,19,7,2,15,0.217,0.027,0.34,6,5.5,8.823908741,75
2,6,6,19,7,2,14.8,0.261,0.035,0.36,7,3.5,8.22184875,118
2,6,6,19,7,2.2,14.5,0.304,0.06,0.37,8,1.8,8.013228266,290
2,6,6,19,7,2.1,14.5,0.304,0.06,0.37,4,1,8.698970004,409
1,6,5,20,5,1.8,15.2,0.178,0.025,0.36,9,1,9.301029996,675
1,6,5,20,5,1.9,15,0.217,0.026,0.32,7,1,9.22184875,210
1,6,5,20,5,1.78,16,0.33,0.066,0.3,7.5,1.9,9.455931956,164
1,6,5,20,5,1.78,16.5,0.38,0.076,0.3,6,1.5,9.759450752,186
1,6,5,20,5,1.78,16.2,0.38,0.076,0.3,9,1,9.759450752,321
1,6,5,20,5,1.78,15.8,0.33,0.066,0.3,6.5,1,9.759450752,248
1,6,5,20,5,3.3,16.5,0.52,0.052,0.3,4,1.2,9.698970004,107
1,6,5,20,5,3.3,16,0.65,0.065,0.3,10,1.5,9.698970004,135
1,6,5,20,5,3.1,16.5,0.65,0.065,0.3,7.2,1.6,9.853871964,116
1,6,5,20,5,2.6,17,0.52,0.052,0.3,6.5,1.4,10.15490196,107
2,6,5,20,5,1.8,15.2,0.178,0.025,0.36,9,1,9.301029996,362
2,6,5,20,5,1.9,15,0.217,0.026,0.32,7,1,9.22184875,89
2,6,5,20,5,1.78,16,0.33,0.066,0.3,7.5,1.9,9.455931956,102
2,6,5,20,5,1.78,16.5,0.38,0.076,0.3,6,1.5,9.759450752,106
2,6,5,20,5,1.78,16.2,0.38,0.076,0.3,9,1,9.759450752,125
2,6,5,20,5,1.78,15.8,0.33,0.066,0.3,6.5,1,9.759450752,112
2,6,5,20,5,3.3,16.5,0.52,0.052,0.3,4,1.2,9.698970004,61
2,6,5,20,5,3.3,16,0.65,0.065,0.3,10,1.5,9.698970004,74
2,6,5,20,5,3.1,16.5,0.65,0.065,0.3,7.2,1.6,9.853871964,69
2,6,5,20,5,2.6,17,0.52,0.052,0.3,6.5,1.4,10.15490196,60
3,6,5,20,5,1.8,15.2,0.178,0.025,0.36,9,1,9.301029996,101
3,6,5,20,5,1.9,15,0.217,0.026,0.32,7,1,9.22184875,55
3,6,5,20,5,1.78,16,0.33,0.066,0.3,7.5,1.9,9.455931956,78
3,6,5,20,5,1.78,16.5,0.38,0.076,0.3,6,1.5,9.759450752,78
3,6,5,20,5,1.78,16.2,0.38,0.076,0.3,9,1,9.759450752,83
3,6,5,20,5,1.78,15.8,0.33,0.066,0.3,6.5,1,9.759450752,76
3,6,5,20,5,3.3,16.5,0.52,0.052,0.3,4,1.2,9.698970004,44
3,6,5,20,5,3.3,16,0.65,0.065,0.3,10,1.5,9.698970004,54
3,6,5,20,5,3.1,16.5,0.65,0.065,0.3,7.2,1.6,9.853871964,51
3,6,5,20,5,2.6,17,0.52,0.052,0.3,6.5,1.4,10.15490196,44
1,6,4,18,4,1.8,15.2,0.178,0.025,0.36,9,1,9.301029996,292
1,6,4,18,4,1.9,15,0.217,0.026,0.32,7,1,9.22184875,101
1,6,4,18,4,1.78,16,0.33,0.066,0.3,7.5,1.9,9.455931956,100
1,6,4,18,4,1.78,16.5,0.38,0.076,0.3,6,1.5,9.759450752,111
1,6,4,18,4,1.78,16.2,0.38,0.076,0.3,9,1,9.759450752,154
1,6,4,18,4,1.78,15.8,0.33,0.066,0.3,6.5,1,9.759450752,132
1,6,4,18,4,3.3,16.5,0.52,0.052,0.3,4,1.2,9.698970004,63
1,6,4,18,4,3.3,16,0.65,0.065,0.3,10,1.5,9.698970004,76
1,6,4,18,4,3.1,16.5,0.65,0.065,0.3,7.2,1.6,9.853871964,69
1,6,4,18,4,2.6,17,0.52,0.052,0.3,6.5,1.4,10.15490196,63
2,6,5,19,6,1.8,15.2,0.178,0.025,0.36,9,1,9.301029996,299
2,6,5,19,6,1.9,15,0.217,0.026,0.32,7,1,9.22184875,90
2,6,5,19,6,1.78,16,0.33,0.066,0.3,7.5,1.9,9.455931956,117
2,6,5,19,6,1.78,16.5,0.38,0.076,0.3,6,1.5,9.759450752,124
2,6,5,19,6,1.78,16.2,0.38,0.076,0.3,9,1,9.759450752,141
2,6,5,19,6,1.78,15.8,0.33,0.066,0.3,6.5,1,9.759450752,126
2,6,5,19,6,3.3,16.5,0.52,0.052,0.3,4,1.2,9.698970004,68
2,6,5,19,6,3.3,16,0.65,0.065,0.3,10,1.5,9.698970004,83
2,6,5,19,6,3.1,16.5,0.65,0.065,0.3,7.2,1.6,9.853871964,79
2,6,5,19,6,2.6,17,0.52,0.052,0.3,6.5,1.4,10.15490196,63
3,6,6,20,8,1.8,15.2,0.178,0.025,0.36,9,1,9.301029996,145
3,6,6,20,8,1.9,15,0.217,0.026,0.32,7,1,9.22184875,83
3,6,6,20,8,1.78,16,0.33,0.066,0.3,7.5,1.9,9.455931956,131
3,6,6,20,8,1.78,16.5,0.38,0.076,0.3,6,1.5,9.759450752,138
3,6,6,20,8,1.78,16.2,0.38,0.076,0.3,9,1,9.759450752,147
3,6,6,20,8,1.78,15.8,0.33,0.066,0.3,6.5,1,9.759450752,133
3,6,6,20,8,3.3,16.5,0.52,0.052,0.3,4,1.2,9.698970004,73
3,6,6,20,8,3.3,16,0.65,0.065,0.3,10,1.5,9.698970004,91
3,6,6,20,8,3.1,16.5,0.65,0.065,0.3,7.2,1.6,9.853871964,87
3,6,6,20,8,2.6,17,0.52,0.052,0.3,6.5,1.4,10.15490196,76
2,8,6,18,4,2.52,14.22,1.09,0.12,0.32,5.29,2.1,7.986152004,165
2,8,6,18,4,1.93,14.81,0.61,0.03,0.31,7.04,1.7,8.011262725,68
2,8,6,18,4,0.57,23.25,0.29,0.02,0.3,6.4,1.9,7.063385738,67
2,8,6,18,4,1.52,16.58,0.48,0.03,0.36,7.12,1.6,7.811915626,114
2,8,6,18,4,1.28,18.84,0.41,0.02,0.33,9.55,1.5,7.798876103,106
2,8,6,18,4,1.88,12.65,0.46,0.03,0.32,4.7,1.5,7.863660003,87
2,8,6,18,4,2.06,15.89,1.06,0.12,0.31,6.38,3.5,7.106238238,213
2,8,6,18,4,2.07,15.3,0.66,0.03,0.29,12.1,1.4,7.882463567,146
2,8,6,18,4,1.76,14.91,0.43,0.03,0.28,3.53,1.6,7.68268898,70
2,8,6,18,4,0.9,16.5,0.14,0.05,0.25,6.5,1.2,8.11577123,117
2,8,6,19,4,2.52,14.22,1.09,0.12,0.32,5.29,2.1,7.986152004,175
2,8,6,19,4,1.93,14.81,0.61,0.03,0.31,7.04,1.7,8.011262725,73
2,8,6,19,4,0.57,23.25,0.29,0.02,0.3,6.4,1.9,7.063385738,71
2,8,6,19,4,1.52,16.58,0.48,0.03,0.36,7.12,1.6,7.811915626,127
2,8,6,19,4,1.28,18.84,0.41,0.02,0.33,9.55,1.5,7.798876103,117
2,8,6,19,4,1.88,12.65,0.46,0.03,0.32,4.7,1.5,7.863660003,95
2,8,6,19,4,2.06,15.89,1.06,0.12,0.31,6.38,3.5,7.106238238,224
2,8,6,19,4,2.07,15.3,0.66,0.03,0.29,12.1,1.4,7.882463567,160
2,8,6,19,4,1.76,14.91,0.43,0.03,0.28,3.53,1.6,7.68268898,74
2,8,6,19,4,0.9,16.5,0.14,0.05,0.25,6.5,1.2,8.11577123,125
2,8,6,20,4,2.52,14.22,1.09,0.12,0.32,5.29,2.1,7.986152004,185
2,8,6,20,4,1.93,14.81,0.61,0.03,0.31,7.04,1.7,8.011262725,80
2,8,6,20,4,0.57,23.25,0.29,0.02,0.3,6.4,1.9,7.063385738,740
2,8,6,20,4,1.52,16.58,0.48,0.03,0.36,7.12,1.6,7.811915626,140
2,8,6,20,4,1.28,18.84,0.41,0.02,0.33,9.55,1.5,7.798876103,128
2,8,6,20,4,1.88,12.65,0.46,0.03,0.32,4.7,1.5,7.863660003,115
2,8,6,20,4,2.06,15.89,1.06,0.12,0.31,6.38,3.5,7.106238238,236
2,8,6,20,4,2.07,15.3,0.66,0.03,0.29,12.1,1.4,7.882463567,174
2,8,6,20,4,1.76,14.91,0.43,0.03,0.28,3.53,1.6,7.68268898,77
2,8,6,20,4,0.9,16.5,0.14,0.05,0.25,6.5,1.2,8.11577123,133
1,6,4,18,3,2.52,14.22,1.09,0.12,0.32,5.29,2.1,7.986152004,164
1,6,4,18,3,1.93,14.81,0.61,0.03,0.31,7.04,1.7,8.011262725,65
1,6,4,18,3,0.57,23.25,0.29,0.02,0.3,6.4,1.9,7.063385738,55
1,6,4,18,3,1.52,16.58,0.48,0.03,0.36,7.12,1.6,7.811915626,107
1,6,4,18,3,1.28,18.84,0.41,0.02,0.33,9.55,1.5,7.798876103,87
1,6,4,18,3,1.88,12.65,0.46,0.03,0.32,4.7,1.5,7.863660003,82
1,6,4,18,3,2.06,15.89,1.06,0.12,0.31,6.38,3.5,7.106238238,192
1,6,4,18,3,2.07,15.3,0.66,0.03,0.29,12.1,1.4,7.882463567,140
1,6,4,18,3,1.76,14.91,0.43,0.03,0.28,3.53,1.6,7.68268898,61
1,6,4,18,3,0.9,16.5,0.14,0.05,0.25,6.5,1.2,8.11577123,120
1,6,4,19,3,2.52,14.22,1.09,0.12,0.32,5.29,2.1,7.986152004,175
1,6,4,19,3,1.93,14.81,0.61,0.03,0.31,7.04,1.7,8.011262725,69
1,6,4,19,3,0.57,23.25,0.29,0.02,0.3,6.4,1.9,7.063385738,57
1,6,4,19,3,1.52,16.58,0.48,0.03,0.36,7.12,1.6,7.811915626,120
1,6,4,19,3,1.28,18.84,0.41,0.02,0.33,9.55,1.5,7.798876103,99
1,6,4,19,3,1.88,12.65,0.46,0.03,0.32,4.7,1.5,7.863660003,88
1,6,4,19,3,2.06,15.89,1.06,0.12,0.31,6.38,3.5,7.106238238,201
1,6,4,19,3,2.07,15.3,0.66,0.03,0.29,12.1,1.4,7.882463567,156
1,6,4,19,3,1.76,14.91,0.43,0.03,0.28,3.53,1.6,7.68268898,64
1,6,4,19,3,0.9,16.5,0.14,0.05,0.25,6.5,1.2,8.11577123,129
1,6,4,20,3,2.52,14.22,1.09,0.12,0.32,5.29,2.1,7.986152004,185
1,6,4,20,3,1.93,14.81,0.61,0.03,0.31,7.04,1.7,8.011262725,73
1,6,4,20,3,0.57,23.25,0.29,0.02,0.3,6.4,1.9,7.063385738,59
1,6,4,20,3,1.52,16.58,0.48,0.03,0.36,7.12,1.6,7.811915626,134
1,6,4,20,3,1.28,18.84,0.41,0.02,0.33,9.55,1.5,7.798876103,110
1,6,4,20,3,1.88,12.65,0.46,0.03,0.32,4.7,1.5,7.863660003,93
1,6,4,20,3,2.06,15.89,1.06,0.12,0.31,6.38,3.5,7.106238238,210
1,6,4,20,3,2.07,15.3,0.66,0.03,0.29,12.1,1.4,7.882463567,172
1,6,4,20,3,1.76,14.91,0.43,0.03,0.28,3.53,1.6,7.68268898,67
1,6,4,20,3,0.9,16.5,0.14,0.05,0.25,6.5,1.2,8.11577123,138
1,6,6,20,8,2.52,14.22,1.09,0.12,0.32,5.29,2.1,7.986152004,452
1,6,6,20,8,1.93,14.81,0.61,0.03,0.31,7.04,1.7,8.011262725,183
1,6,6,20,8,0.57,23.25,0.29,0.02,0.3,6.4,1.9,7.063385738,121
1,6,6,20,8,1.52,16.58,0.48,0.03,0.36,7.12,1.6,7.811915626,354
1,6,6,20,8,1.28,18.84,0.41,0.02,0.33,9.55,1.5,7.798876103,247
1,6,6,20,8,1.88,12.65,0.46,0.03,0.32,4.7,1.5,7.863660003,242
1,6,6,20,8,2.06,15.89,1.06,0.12,0.31,6.38,3.5,7.106238238,414
1,6,6,20,8,2.07,15.3,0.66,0.03,0.29,12.1,1.4,7.882463567,350
1,6,6,20,8,1.76,14.91,0.43,0.03,0.28,3.53,1.6,7.68268898,146
1,6,6,20,8,0.9,16.5,0.14,0.05,0.25,6.5,1.2,8.11577123,340
3,6,6,20,2,1.57,16.1,0.18,0.01,0.3,5,1.1,6.744727495,24
3,6,6,20,2,2.45,14.4,0.25,0.04,0.3,3.5,1.4,8.346787486,32
3,6,6,20,2,2.16,15.2,0.21,0.02,0.3,4.5,1.1,8.537602002,31
3,6,6,20,2,1.76,15.7,0.21,0.02,0.3,5.5,1.2,8.823908741,30
3,6,6,20,2,1.53,16.2,0.15,0.02,0.3,7.5,1.3,9.22184875,59
3,6,6,20,2,2.3,14.8,0.57,0.06,0.15,5,1.8,8.219538667,58
3,6,6,20,2,2.7,14.3,0.76,0.08,0.15,6,2.1,8.444180317,49
3,6,6,20,2,2.9,14,0.87,0.09,0.15,4.5,1.7,8.935542011,40
3,6,6,20,2,2.8,14,0.76,0.076,0.15,4,1.6,9.236572006,34
3,6,6,20,2,1.81,15.7,0.18,0.02,0.3,3,1.3,8.251811973,50
1,10,5,19,5,1.57,16.1,0.18,0.01,0.3,5,1.1,6.744727495,59
1,10,5,19,5,2.45,14.4,0.25,0.04,0.3,3.5,1.4,8.346787486,71
1,10,5,19,5,2.16,15.2,0.21,0.02,0.3,4.5,1.1,8.537602002,70
1,10,5,19,5,1.76,15.7,0.21,0.02,0.3,5.5,1.2,8.823908741,73
1,10,5,19,5,1.53,16.2,0.15,0.02,0.3,7.5,1.3,9.22184875,89
1,10,5,19,5,2.3,14.8,0.57,0.06,0.15,5,1.8,8.219538667,100
1,10,5,19,5,2.7,14.3,0.76,0.08,0.15,6,2.1,8.444180317,95
1,10,5,19,5,2.9,14,0.87,0.09,0.15,4.5,1.7,8.935542011,82
1,10,5,19,5,2.8,14,0.76,0.076,0.15,4,1.6,9.236572006,67
1,10,5,19,5,1.81,15.7,0.18,0.02,0.3,3,1.3,8.251811973,101
1,10,5,19,4,1.57,16.1,0.18,0.01,0.3,5,1.1,6.744727495,55
1,10,5,19,4,2.45,14.4,0.25,0.04,0.3,3.5,1.4,8.346787486,66
1,10,5,19,4,2.16,15.2,0.21,0.02,0.3,4.5,1.1,8.537602002,64
1,10,5,19,4,1.76,15.7,0.21,0.02,0.3,5.5,1.2,8.823908741,67
1,10,5,19,4,1.53,16.2,0.15,0.02,0.3,7.5,1.3,9.22184875,79
1,10,5,19,4,2.3,14.8,0.57,0.06,0.15,5,1.8,8.219538667,86
1,10,5,19,4,2.7,14.3,0.76,0.08,0.15,6,2.1,8.444180317,81
1,10,5,19,4,2.9,14,0.87,0.09,0.15,4.5,1.7,8.935542011,69
1,10,5,19,4,2.8,14,0.76,0.076,0.15,4,1.6,9.236572006,62
1,10,5,19,4,1.81,15.7,0.18,0.02,0.3,3,1.3,8.251811973,92
2,6,5,19,6,1.57,16.1,0.18,0.01,0.3,5,1.1,6.744727495,40
2,6,5,19,6,2.45,14.4,0.25,0.04,0.3,3.5,1.4,8.346787486,54
2,6,5,19,6,2.16,15.2,0.21,0.02,0.3,4.5,1.1,8.537602002,55
2,6,5,19,6,1.76,15.7,0.21,0.02,0.3,5.5,1.2,8.823908741,55
2,6,5,19,6,1.53,16.2,0.15,0.02,0.3,7.5,1.3,9.22184875,92
2,6,5,19,6,2.3,14.8,0.57,0.06,0.15,5,1.8,8.219538667,104
2,6,5,19,6,2.7,14.3,0.76,0.08,0.15,6,2.1,8.444180317,102
2,6,5,19,6,2.9,14,0.87,0.09,0.15,4.5,1.7,8.935542011,87
2,6,5,19,6,2.8,14,0.76,0.076,0.15,4,1.6,9.236572006,55
2,6,5,19,6,1.81,15.7,0.18,0.02,0.3,3,1.3,8.251811973,91
2,6,5,19,7,1.57,16.1,0.18,0.01,0.3,5,1.1,6.744727495,40
2,6,5,19,7,2.45,14.4,0.25,0.04,0.3,3.5,1.4,8.346787486,59
2,6,5,19,7,2.16,15.2,0.21,0.02,0.3,4.5,1.1,8.537602002,62
2,6,5,19,7,1.76,15.7,0.21,0.02,0.3,5.5,1.2,8.823908741,62
2,6,5,19,7,1.53,16.2,0.15,0.02,0.3,7.5,1.3,9.22184875,100
2,6,5,19,7,2.3,14.8,0.57,0.06,0.15,5,1.8,8.219538667,114
2,6,5,19,7,2.7,14.3,0.76,0.08,0.15,6,2.1,8.444180317,114
2,6,5,19,7,2.9,14,0.87,0.09,0.15,4.5,1.7,8.935542011,99
2,6,5,19,7,2.8,14,0.76,0.076,0.15,4,1.6,9.236572006,60
2,6,5,19,7,1.81,15.7,0.18,0.02,0.3,3,1.3,8.251811973,100
3,6,6,20,3,1.57,16.1,0.18,0.01,0.3,5,1.1,6.744727495,29
3,6,6,20,3,2.45,14.4,0.25,0.04,0.3,3.5,1.4,8.346787486,36
3,6,6,20,3,2.16,15.2,0.21,0.02,0.3,4.5,1.1,8.537602002,35
3,6,6,20,3,1.76,15.7,0.21,0.02,0.3,5.5,1.2,8.823908741,33
3,6,6,20,3,1.53,16.2,0.15,0.02,0.3,7.5,1.3,9.22184875,64
3,6,6,20,3,2.3,14.8,0.57,0.06,0.15,5,1.8,8.219538667,66
3,6,6,20,3,2.7,14.3,0.76,0.08,0.15,6,2.1,8.444180317,57
3,6,6,20,3,2.9,14,0.87,0.09,0.15,4.5,1.7,8.935542011,47
3,6,6,20,3,2.8,14,0.76,0.076,0.15,4,1.6,9.236572006,39
3,6,6,20,3,1.81,15.7,0.18,0.02,0.3,3,1.3,8.251811973,56
2,10,4,20,7,1.25,15.5,0.2,0.03,0.32,8,1.1,8.301029996,85
2,10,4,20,7,1.25,15.5,0.2,0.03,0.32,8,1.3,8.301029996,79
2,10,5,20,7,1.25,15.5,0.2,0.03,0.32,8,1.5,8.301029996,113
2,10,5,20,7,1.25,15.5,0.2,0.03,0.32,8,1.7,8.301029996,106
2,10,5,20,7,1.25,15.5,0.2,0.03,0.32,8,1.9,8.301029996,101
2,10,6,20,7,1.5,16,0.2,0.03,0.32,8,1.2,8.301029996,140
2,10,6,20,7,1.5,16,0.2,0.03,0.32,8,1.4,8.301029996,123
2,10,6,20,7,1.5,16,0.2,0.03,0.32,8,1.6,8.301029996,113
2,10,6,20,7,1.5,16,0.2,0.03,0.32,8,1.8,8.301029996,106
1,10,4,20,4,1.75,16.5,0.3,0.035,0.33,10,1.1,9,81
1,10,4,20,5,1.75,16.5,0.3,0.035,0.31,10,1.3,9,47
1,10,5,20,7,1.75,16.5,0.3,0.035,0.33,7.5,1.5,9,140
2,10,5,20,7,1.75,16.5,0.31,0.036,0.33,5,1.1,8.301029996,111
3,10,5,20,7,1.75,16.5,0.3,0.035,0.35,12,1.8,8.522878745,100
1,10,6,20,7,1.73,16.2,0.34,0.034,0.33,10,1.3,8.15490196,336
2,10,6,20,7,1.75,16.5,0.3,0.035,0.33,10,1.1,8,221
2,10,6,20,7,1.75,16.5,0.3,0.035,0.33,10,1.1,8.301029996,200
3,10,6,20,7,1.75,16.5,0.3,0.035,0.33,10,1.1,10,72
3,8,5,20,5,2.8,16.3,0.62,0.065,0.3,1.5,1.2,9,59
3,8,5,20,5,2.8,16.3,0.62,0.065,0.3,2.5,1.2,9,59
3,8,5,20,5,2.8,16.3,0.62,0.065,0.3,3.5,1.2,9,59
3,8,5,20,5,2.8,16.3,0.62,0.065,0.3,4.5,1.2,9,59
2,8,6,20,4,2.8,16.3,0.62,0.065,0.3,5.5,1.2,9,60
2,8,6,20,4,2.8,16.3,0.62,0.065,0.3,6.5,1.2,9,84
2,8,6,20,4,2.8,16.3,0.62,0.065,0.3,7.5,1.2,9,86
2,8,6,20,4,2.8,16.3,0.62,0.065,0.3,8.5,1.2,9,91
2,8,6,20,4,2.8,16.3,0.62,0.065,0.3,9.5,1.2,9,96
2,8,6,20,4,2.8,16.3,0.62,0.065,0.3,10.5,1.2,9,103
1,8,5,20,3,2.75,14.5,0.52,0.055,0.15,4,1.3,9,55
1,8,5,20,3,2.75,14.5,0.52,0.055,0.17,4,1.3,9,57
1,8,5,20,3,2.75,14.5,0.52,0.055,0.19,4,1.3,9,60
1,8,5,20,3,2.75,14.5,0.52,0.055,0.21,4,1.3,9,64
1,8,5,20,3,2.75,14.5,0.52,0.055,0.23,4,1.3,9,67
2,10,4,20,8,2.75,14.5,0.52,0.055,0.25,4,1.3,9,67
2,10,4,20,8,2.75,14.5,0.52,0.055,0.27,4,1.3,9,71
2,10,4,20,8,2.75,14.5,0.52,0.055,0.29,4,1.3,9,74
2,10,4,20,8,2.75,14.5,0.52,0.055,0.31,4,1.3,9,79
2,10,4,20,8,2.75,14.5,0.52,0.055,0.33,4,1.3,9,84
3,6,4,20,4,0.788,16.5,0.0576,0.0106,0.32,5,3.5,9,19
3,6,4,20,4,0.589,16.5,0.0425,0.016,0.32,5,2.8,9,30
3,6,4,20,4,0.815,16.5,0.0661,0.0292,0.32,5,1,9,47
3,6,4,20,4,0.949,16.5,0.127,0.0276,0.32,5,1.2,9,42
3,6,4,20,4,2,16.5,0.217,0.027,0.32,5,7.5,8.958607315,27
3,6,4,20,4,2,16.5,0.217,0.027,0.32,5,5.5,8.823908741,28
3,6,4,20,4,2,16.5,0.261,0.035,0.32,5,3.5,8.22184875,42
3,6,4,20,4,2.2,16.5,0.304,0.06,0.32,5,1.8,8.013228266,68
3,6,4,20,4,2.1,16.5,0.304,0.06,0.32,5,1,8.698970004,59
3,6,4,20,4,1.8,16.5,0.178,0.025,0.32,5,1,9.301029996,27
3,6,4,20,4,1.9,16.5,0.217,0.026,0.32,5,1,9.22184875,28
3,6,4,20,4,1.78,16.5,0.33,0.066,0.32,5,1.9,9.458420756,49
3,6,4,20,4,1.78,16.5,0.38,0.076,0.32,5,1.5,9.759450752,50
3,6,4,20,4,1.78,16.5,0.38,0.076,0.32,5,1,9.759450752,51
3,6,4,20,4,1.78,16.5,0.33,0.066,0.32,5,1,9.759450752,46
3,6,4,20,4,3.3,16.5,0.52,0.052,0.32,5,1.2,9.698970004,29
3,6,4,20,4,3.3,16.5,0.65,0.065,0.32,5,1.5,9.698970004,34
3,6,4,20,4,3.1,16.5,0.65,0.065,0.32,5,1.6,9.853871964,33
3,6,4,20,4,2.6,16.5,0.52,0.052,0.32,5,1.4,10.15490196,28
3,6,4,20,4,1.6,16.5,0.35,0.035,0.32,5,1.8,9.555955204,32
3,6,4,20,4,2.1,16.5,0.62,0.061,0.32,5,1.9,9.853871964,38
3,6,4,20,4,2.2,16.5,0.28,0.028,0.32,5,1.1,10,21
3,6,4,20,4,1.5,16.5,0.22,0.022,0.32,5,1.9,10.15490196,19
3,6,4,20,4,3.06,16.5,0.13,0.05,0.32,5,2.1,8.823908741,38
3,6,4,20,4,3.06,16.5,0.13,0.05,0.32,5,1.1,8.823908741,41
3,6,4,20,5,1.61,16.5,0.11,0.08,0.32,5,1.15,8.958607315,89
3,6,4,20,5,2.02,16.5,0.4696,0.03,0.32,5,3.5,9.698970004,29
3,6,4,20,5,2.45,16.5,0.7261,0.0343,0.32,5,1.8,9.853871964,28
3,6,4,20,5,1.72,16.5,0.4087,0.0274,0.32,5,1.8,10.15490196,26
3,6,4,20,5,2.52,16.5,1.0888,0.123,0.32,5,2.1,7.986152004,120
3,6,4,20,5,1.93,16.5,0.6087,0.0291,0.32,5,1.7,8.011262725,46
3,6,4,20,5,0.57,16.5,0.287,0.0157,0.32,5,1.9,7.063385738,56
3,6,4,20,5,1.52,16.5,0.4783,0.0252,0.32,5,1.6,7.811915626,49
3,6,4,20,5,1.28,16.5,0.413,0.0226,0.32,5,1.5,7.798876103,50
3,6,4,20,5,1.88,16.5,0.4565,0.0287,0.32,5,1.5,7.863660003,49
3,6,4,20,5,2.06,16.5,1.0586,0.1222,0.32,5,3.5,7.106238238,159
3,6,4,20,5,2.07,16.5,0.6609,0.0317,0.32,5,1.4,7.882463567,51
3,6,4,20,5,1.76,16.5,0.4348,0.0274,0.32,5,1.6,7.68268898,50
3,6,4,20,5,0.9,16.5,0.14,0.05,0.32,5,1.2,8.11577123,102
3,6,4,20,5,1.57,16.5,0.18,0.01,0.32,5,1.1,6.744727495,35
3,6,4,20,5,1.57,16.5,0.18,0.01,0.32,5,1.5,6.744727495,24
3,6,4,20,5,2.45,16.5,0.25,0.041,0.32,5,1.3,8.346787486,51
3,6,4,20,5,2.16,16.5,0.21,0.024,0.32,5,1.4,8.537602002,35
3,6,4,20,5,1.76,16.5,0.21,0.024,0.32,5,1.1,8.823908741,36
3,6,4,20,5,1.53,16.5,0.15,0.02,0.32,5,1.2,9.22184875,29
3,6,4,20,5,2.3,16.5,0.57,0.057,0.32,5,1.3,8.219538667,69
3,6,4,20,5,2.7,16.5,0.76,0.076,0.32,5,1.8,8.444180317,74
3,6,4,20,5,2.9,16.5,0.87,0.087,0.32,5,2.1,8.935542011,69
3,6,4,20,5,2.8,16.5,0.76,0.076,0.32,5,1.7,9.236572006,59
3,6,4,20,5,1.81,16.5,0.18,0.024,0.32,5,1.6,8.251811973,40
3,6,5,20,6,0.8,16.5,0.0582,0.0106,0.32,5,3.5,9,32
3,6,5,20,6,0.6,16.5,0.0425,0.017,0.32,5,2.2,9,65
3,6,5,20,6,0.815,16.5,0.0661,0.0292,0.32,5,1.2,9,84
3,6,5,20,6,0.97,16.5,0.127,0.0276,0.32,5,1.2,9,74
3,6,5,20,6,2.1,16.5,0.217,0.027,0.32,5,7.5,8.958607315,44
3,6,5,20,6,2.1,16.5,0.217,0.027,0.32,5,5.5,8.823908741,45
3,6,5,20,6,1.9,16.5,0.261,0.035,0.32,5,3.5,8.22184875,69
3,6,5,20,6,2.3,16.5,0.304,0.06,0.32,5,1.8,8.013228266,109
3,6,5,20,6,2.2,16.5,0.304,0.06,0.32,5,1,8.698970004,103
3,6,5,20,6,1.85,16.5,0.178,0.025,0.32,5,1,9.301029996,50
3,6,5,20,6,1.9,16.5,0.22,0.026,0.32,5,1,9.22184875,52
3,6,5,20,6,1.78,16.5,0.35,0.066,0.32,5,1.9,9.458420756,96
3,6,5,20,6,1.78,16.5,0.4,0.076,0.32,5,1.5,9.759450752,103
3,6,5,20,6,1.78,16.5,0.39,0.076,0.32,5,1,9.759450752,105
3,6,5,20,6,1.78,16.5,0.36,0.066,0.32,5,1,9.759450752,95
3,6,5,20,6,3.3,16.5,0.54,0.052,0.32,5,1.2,9.698970004,57
3,6,5,20,6,3.3,16.5,0.66,0.065,0.32,5,1.5,9.698970004,66
3,6,5,20,6,3.1,16.5,0.67,0.065,0.32,5,1.6,9.853871964,66
3,6,5,20,6,2.6,16.5,0.54,0.052,0.32,5,1.4,10.15490196,58
3,6,5,20,6,1.6,16.5,0.34,0.035,0.32,5,1.8,9.555955204,61
3,6,5,20,6,2.1,16.5,0.62,0.061,0.32,5,1.9,9.853871964,77
3,6,5,20,6,2.2,16.5,0.28,0.028,0.32,5,1.1,10,47
3,6,5,20,6,1.5,16.5,0.22,0.022,0.32,5,1.9,10.15490196,41
3,6,5,20,6,3.06,16.5,0.13,0.05,0.32,5,2.1,8.823908741,54
3,6,5,20,6,3.06,16.5,0.13,0.05,0.32,5,1.1,8.823908741,63
