Angle,Length,Ht_E,UW_E,Ht_SS,Void Ratio,UW_SS,Lamda,Kappa,PR,FA,OCR,Permeability,After 30d
2,10,5,20,9,3.3,16,0.65,0.065,0.3,10,1.5,9.698970004,102
2,10,5,20,9,3.1,16.5,0.65,0.065,0.3,7.2,1.6,9.853871964,98
2,10,5,20,9,2.6,17,0.52,0.052,0.3,6.5,1.4,10.15490196,87
1,10,5,18,7,1.8,15.2,0.178,0.025,0.36,9,1,9.301029996,82
1,10,5,18,7,1.9,15,0.217,0.026,0.32,7,1,9.22184875,140
1,10,5,18,7,1.78,16,0.33,0.066,0.3,7.5,1.9,9.455931956,145
1,10,5,18,7,1.78,16.5,0.38,0.076,0.3,6,1.5,9.759450752,163
1,10,5,18,7,1.78,16.2,0.38,0.076,0.3,9,1,9.759450752,221
1,10,5,18,7,1.78,15.8,0.33,0.066,0.3,6.5,1,9.759450752,190
1,10,5,18,7,3.3,16.5,0.52,0.052,0.3,4,1.2,9.698970004,92
1,10,5,18,7,3.3,16,0.65,0.065,0.3,10,1.5,9.698970004,109
1,10,5,18,7,3.1,16.5,0.65,0.065,0.3,7.2,1.6,9.853871964,100
1,10,5,18,7,2.6,17,0.52,0.052,0.3,6.5,1.4,10.15490196,92
1,10,5,18,7,2.52,14.22,1.09,0.12,0.32,5.29,2.1,7.986152004,285
1,10,5,18,7,1.93,14.81,0.61,0.03,0.31,7.04,1.7,8.011262725,100
1,10,5,18,7,0.57,23.25,0.29,0.02,0.3,6.4,1.9,7.063385738,830
1,10,5,18,7,1.52,16.58,0.48,0.03,0.36,7.12,1.6,7.811915626,179
1,10,5,18,7,1.28,18.84,0.41,0.02,0.33,9.55,1.5,7.798876103,135
1,10,5,18,7,1.88,12.65,0.46,0.03,0.32,4.7,1.5,7.863660003,134
1,10,5,18,7,2.06,15.89,1.06,0.12,0.31,6.38,3.5,7.106238238,289
1,10,5,18,7,2.07,15.3,0.66,0.03,0.29,12.1,1.4,7.882463567,198
1,10,5,18,7,1.76,14.91,0.43,0.03,0.28,3.53,1.6,7.68268898,93
1,10,5,18,7,0.9,16.5,0.14,0.05,0.25,6.5,1.2,8.11577123,194
2,10,5,18,6,2.52,14.22,1.09,0.12,0.32,5.29,2.1,7.986152004,187
2,10,5,18,6,1.93,14.81,0.61,0.03,0.31,7.04,1.7,8.011262725,68
2,10,5,18,6,0.57,23.25,0.29,0.02,0.3,6.4,1.9,7.063385738,67
2,10,5,18,6,1.52,16.58,0.48,0.03,0.36,7.12,1.6,7.811915626,103
2,10,5,18,6,1.28,18.84,0.41,0.02,0.33,9.55,1.5,7.798876103,88
2,10,5,18,6,1.88,12.65,0.46,0.03,0.32,4.7,1.5,7.863660003,87
2,10,5,18,6,2.06,15.89,1.06,0.12,0.31,6.38,3.5,7.106238238,217
2,10,5,18,6,2.07,15.3,0.66,0.03,0.29,12.1,1.4,7.882463567,127
2,10,5,18,6,1.76,14.91,0.43,0.03,0.28,3.53,1.6,7.68268898,68
2,10,5,18,6,0.9,16.5,0.14,0.05,0.25,6.5,1.2,8.11577123,124
3,10,5,18,8,2.52,14.22,1.09,0.12,0.32,5.29,2.1,7.986152004,190
3,10,5,18,8,1.93,14.81,0.61,0.03,0.31,7.04,1.7,8.011262725,66
3,10,5,18,8,0.57,23.25,0.29,0.02,0.3,6.4,1.9,7.063385738,63
3,10,5,18,8,1.52,16.58,0.48,0.03,0.36,7.12,1.6,7.811915626,93
3,10,5,18,8,1.28,18.84,0.41,0.02,0.33,9.55,1.5,7.798876103,75
3,10,5,18,8,1.88,12.65,0.46,0.03,0.32,4.7,1.5,7.863660003,80
3,10,5,18,8,2.06,15.89,1.06,0.12,0.31,6.38,3.5,7.106238238,205
3,10,5,18,8,2.07,15.3,0.66,0.03,0.29,12.1,1.4,7.882463567,109
3,10,5,18,8,1.76,14.91,0.43,0.03,0.28,3.53,1.6,7.68268898,64
3,10,5,18,8,0.9,16.5,0.14,0.05,0.25,6.5,1.2,8.11577123,125
1,10,6,18,5,1.57,16.1,0.18,0.01,0.3,5,1.1,6.744727495,69
1,10,6,18,5,2.45,14.4,0.25,0.04,0.3,3.5,1.4,8.346787486,80
1,10,6,18,5,2.16,15.2,0.21,0.02,0.3,4.5,1.1,8.537602002,78
1,10,6,18,5,1.76,15.7,0.21,0.02,0.3,5.5,1.2,8.823908741,83
1,10,6,18,5,1.53,16.2,0.15,0.02,0.3,7.5,1.3,9.22184875,96
1,10,6,18,5,2.3,14.8,0.57,0.06,0.15,5,1.8,8.219538667,106
1,10,6,18,5,2.7,14.3,0.76,0.08,0.15,6,2.1,8.444180317,101
1,10,6,18,5,2.9,14,0.87,0.09,0.15,4.5,1.7,8.935542011,86
1,10,6,18,5,2.8,14,0.76,0.076,0.15,4,1.6,9.236572006,74
1,10,6,18,5,1.81,15.7,0.18,0.02,0.3,3,1.3,8.251811973,112
3,10,6,18,9,1.57,16.1,0.18,0.01,0.3,5,1.1,6.744727495,41
3,10,6,18,9,2.45,14.4,0.25,0.04,0.3,3.5,1.4,8.346787486,48
3,10,6,18,9,2.16,15.2,0.21,0.02,0.3,4.5,1.1,8.537602002,49
3,10,6,18,9,1.76,15.7,0.21,0.02,0.3,5.5,1.2,8.823908741,49
3,10,6,18,9,1.53,16.2,0.15,0.02,0.3,7.5,1.3,9.22184875,90
3,10,6,18,9,2.3,14.8,0.57,0.06,0.15,5,1.8,8.219538667,101
3,10,6,18,9,2.7,14.3,0.76,0.08,0.15,6,2.1,8.444180317,100
3,10,6,18,9,2.9,14,0.87,0.09,0.15,4.5,1.7,8.935542011,86
3,10,6,18,9,2.8,14,0.76,0.076,0.15,4,1.6,9.236572006,51
3,10,6,18,9,1.81,15.7,0.18,0.02,0.3,3,1.3,8.251811973,84
2,10,6,18,3,1.57,16.1,0.18,0.01,0.3,5,1.1,6.744727495,31
2,10,6,18,3,2.45,14.4,0.25,0.04,0.3,3.5,1.4,8.346787486,42
2,10,6,18,3,2.16,15.2,0.21,0.02,0.3,4.5,1.1,8.537602002,41
2,10,6,18,3,1.76,15.7,0.21,0.02,0.3,5.5,1.2,8.823908741,41
2,10,6,18,3,1.53,16.2,0.15,0.02,0.3,7.5,1.3,9.22184875,62
2,10,6,18,3,2.3,14.8,0.57,0.06,0.15,5,1.8,8.219538667,63
2,10,6,18,3,2.7,14.3,0.76,0.08,0.15,6,2.1,8.444180317,55
2,10,6,18,3,2.9,14,0.87,0.09,0.15,4.5,1.7,8.935542011,45
2,10,6,18,3,2.8,14,0.76,0.076,0.15,4,1.6,9.236572006,42
2,10,6,18,3,1.81,15.7,0.18,0.02,0.3,3,1.3,8.251811973,62
3,10,4,19,8,1.8,15.2,0.178,0.025,0.36,9,1,9.301029996,82
3,10,4,19,8,1.9,15,0.217,0.026,0.32,7,1,9.22184875,54
3,10,4,19,8,1.78,16,0.33,0.066,0.3,7.5,1.9,9.455931956,88
3,10,4,19,8,1.78,16.5,0.38,0.076,0.3,6,1.5,9.759450752,94
3,10,4,19,8,1.78,16.2,0.38,0.076,0.3,9,1,9.759450752,100
3,10,4,19,8,1.78,15.8,0.33,0.066,0.3,6.5,1,9.759450752,90
3,10,4,19,8,3.3,16.5,0.52,0.052,0.3,4,1.2,9.698970004,49
3,10,4,19,8,3.3,16,0.65,0.065,0.3,10,1.5,9.698970004,60
3,10,4,19,8,3.1,16.5,0.65,0.065,0.3,7.2,1.6,9.853871964,58
3,10,4,19,8,2.6,17,0.52,0.052,0.3,6.5,1.4,10.15490196,50
1,6,5,19,6,0.788,18.58,0.0576,0.0106,0.36,5,3.5,9,53
1,6,5,19,6,0.589,18.38,0.0425,0.016,0.36,5,2.8,9,101
1,6,5,19,6,0.815,20,0.066,0.029,0.36,5,1,9,357
1,6,5,19,6,0.949,18.11,0.127,0.05,0.36,5,1.5,9,317
1,6,5,19,6,2,15,0.217,0.0276,0.35,5,7.5,8.958607315,80
1,6,5,19,6,2,15,0.217,0.027,0.34,6,5.5,8.823908741,79
1,6,5,19,6,2,14.8,0.261,0.035,0.36,7,3.5,8.22184875,130
1,6,5,19,6,2.2,14.5,0.304,0.06,0.37,8,1.8,8.013228266,407
1,6,5,19,6,2.1,14.5,0.304,0.06,0.37,4,1,8.698970004,543
